ResponseId,PROLIFIC_PID,ChartType,actual,analogy,actualOverlay,analogyOverlay
Response ID,PROLIFIC_PID,ChartType,,,,
"{""ImportId"":""_recordId""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""ChartType""}",,,,
R_8s5J1YOHObht56t,65257c1a7780ceee7f6ef9bd,Heatmap,/Users/h2o/Desktop/46Sketch/HeatmapActual/R_8s5J1YOHObht56t_signature.png,/Users/h2o/Desktop/46Sketch/HeatmapAnalogy/R_8s5J1YOHObht56t_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8s5J1YOHObht56t_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8s5J1YOHObht56t_signature.png_analogy_composite.png
R_27QyT04gKZAJtCN,5f60713e595007000a8e1da7,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_27QyT04gKZAJtCN_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_27QyT04gKZAJtCN_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_27QyT04gKZAJtCN_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_27QyT04gKZAJtCN_signature.png_analogy_composite.png
R_3ikEzdbl0yjvg6g,6694154a46060b3c49b2d6fd,Waterfall,/Users/h2o/Desktop/46Sketch/WaterfallActual/R_3ikEzdbl0yjvg6g_signature.png,/Users/h2o/Desktop/46Sketch/WaterfallAnalogy/R_3ikEzdbl0yjvg6g_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_3ikEzdbl0yjvg6g_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_3ikEzdbl0yjvg6g_signature.png_analogy_composite.png
R_8rqsacwkwQOyoTY,61268bfae35dcb011f6081b5,Waterfall,/Users/h2o/Desktop/46Sketch/WaterfallActual/R_8rqsacwkwQOyoTY_signature.png,/Users/h2o/Desktop/46Sketch/WaterfallAnalogy/R_8rqsacwkwQOyoTY_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8rqsacwkwQOyoTY_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8rqsacwkwQOyoTY_signature.png_analogy_composite.png
R_8XRsaZwVl9xf5Ch,673dbdb45619a09770515a71,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_8XRsaZwVl9xf5Ch_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_8XRsaZwVl9xf5Ch_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8XRsaZwVl9xf5Ch_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8XRsaZwVl9xf5Ch_signature.png_analogy_composite.png
R_1DIvMXRYLyOhuv0,66107a3619b2031a5256b327,Waterfall,/Users/h2o/Desktop/46Sketch/WaterfallActual/R_1DIvMXRYLyOhuv0_signature.png,/Users/h2o/Desktop/46Sketch/WaterfallAnalogy/R_1DIvMXRYLyOhuv0_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_1DIvMXRYLyOhuv0_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_1DIvMXRYLyOhuv0_signature.png_analogy_composite.png
R_2J91hdkKtVCrRcJ,65537f74cbcb128a40c05aac,Sunburst,/Users/h2o/Desktop/46Sketch/Sunburst Draw/R_2J91hdkKtVCrRcJ_signature.png,/Users/h2o/Desktop/46Sketch/SunburstAnalogy/R_2J91hdkKtVCrRcJ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2J91hdkKtVCrRcJ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2J91hdkKtVCrRcJ_signature.png_analogy_composite.png
R_2g6sG3yWKuYN2hC,66158689100c088c6ca9c9a0,BubbleChart,/Users/h2o/Desktop/46Sketch/BubbleActual/R_2g6sG3yWKuYN2hC_signature.png,/Users/h2o/Desktop/46Sketch/BubbleAnalogy/R_2g6sG3yWKuYN2hC_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2g6sG3yWKuYN2hC_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2g6sG3yWKuYN2hC_signature.png_analogy_composite.png
